element,sp_num,obs_wl_air(A),unc_obs_wl,Grade,blank,intensity,intensity flags,Use
Hg,2,3945.673,0.004,,,240.0,,N
Hg,2,3946.281,0.004,,,600.0,,N
Hg,2,3956.319,0.004,,,480.0,,N
Hg,2,3974.402,0.004,,,4000.0,,N
Hg,1,3983.92,0.05,,,16.0,,Y
Hg,2,3983.9312,0.0003,,,80000000.0,c,N
Hg,1,4025.95,0.08,,,32.0,,Y
Hg,2,4026.201,0.016,,,120.0,G,N
Hg,2,4040.457,0.01,,,32000.0,c,N
Hg,2,4040.576,0.003,,,4000.0,,N
Hg,1,4046.565,0.001,,,96000.0,,Y
Hg,2,4047.74,0.004,,,400.0,,N
Hg,1,4077.837,0.001,,,8000.0,,Y
Hg,1,4108.054,0.008,D,,560.0,,Y
Hg,2,4120.44,0.004,,,32000.0,,N
Hg,3,4122.07,0.1,,,560.0,,N
Hg,1,4140.0,0.2,,,0.0,,Y
Hg,3,4140.34,0.1,,,80.0,,N
Hg,3,4216.74,0.1,,,800.0,,N
Hg,2,4276.224,0.003,,,800.0,,N
Hg,2,4277.995,0.003,,,800.0,w,N
Hg,1,4314.05,0.13,,,8.0,,Y
Hg,2,4337.097,0.004,,,800.0,c,N
Hg,2,4337.097,0.004,,,800.0,c,N
Hg,1,4339.2232,0.001,C+,,400.0,,Y
Hg,1,4343.634,0.02,,,10.4,,Y
Hg,1,4347.4945,0.001,,,1200.0,,Y
Hg,1,4358.335,0.001,,,96000.0,,Y
Hg,2,4382.549,0.004,,,2400.0,u,N
Hg,2,4398.617,0.003,,,320000.0,,N
Hg,2,4404.854,0.006,,,16.0,h,N
Hg,2,4425.22,0.004,,,26400.0,h,N
Hg,2,4454.395,0.003,,,1600.0,h,N
Hg,2,4455.486,0.003,,,560.0,h,N
Hg,2,4459.053,0.003,,,1200.0,h,N
Hg,2,4463.878,0.004,,,5600.0,c,N
Hg,3,4470.58,0.1,,,120.0,,N
Hg,2,4491.552,0.003,,,16000.0,,N
Hg,2,4492.831,0.003,,,22400.0,,N
Hg,3,4552.84,0.1,,,96.0,,N
Hg,2,4657.32,0.003,,,480.0,h,N
Hg,2,4660.219,0.004,,,240000.0,,N
Hg,1,4670.831,0.011,,,-792.0,--,Y
Hg,1,4671.717,0.011,,,-792.0,--,Y
Hg,1,4672.918,0.011,,,-792.0,*,Y
Hg,1,4672.918,0.011,,,-792.0,*,Y
Hg,1,4683.819,0.011,,,-792.0,--,Y
Hg,1,4684.926,0.011,,,-792.0,--,Y
Hg,1,4686.386,0.011,,,-792.0,*,Y
