element,sp_num,obs_wl_air(A),unc_obs_wl,Grade,blank,intensity,intensity flags,Use
Xe,2,2421.27,0.1,,,20.0,h,N
Xe,2,2422.12,0.1,,,2.0,,N
Xe,4,2422.12,0.01,,,9.0,,N
Xe,3,2422.139,0.05,,,14.0,bl,N
Xe,3,2422.767,0.05,,,9.0,,N
Xe,2,2422.94,0.1,,,10.0,,N
Xe,3,2423.918,0.05,,,3.0,,N
Xe,2,2425.05,0.1,,,40.0,h,N
Xe,4,2428.97,0.01,,,10.0,,N
Xe,4,2431.07,0.01,,,6.0,,N
Xe,2,2432.72,0.1,,,12.0,,N
Xe,4,2433.59,0.01,,,9.0,,N
Xe,2,2435.47,0.1,,,6.0,,N
Xe,5,2435.82,0.01,,,2.0,,N
Xe,3,2436.491,0.05,,,12.0,,N
Xe,4,2438.08,0.01,,,2.0,,N
Xe,2,2438.76,0.1,,,1.0,-,N
Xe,3,2439.516,0.05,,,6.0,w,N
Xe,5,2441.49,0.01,,,14.0,bl,N
Xe,3,2441.523,0.05,,,11.0,,N
Xe,2,2441.6,0.1,,,2.0,h,N
Xe,5,2441.86,0.01,,,15.0,,N
Xe,2,2442.54,0.1,,,1.0,,N
Xe,2,2442.78,0.1,,,1.0,H,N
Xe,5,2443.37,0.01,,,10.0,,N
Xe,4,2446.08,0.01,,,8.0,,N
Xe,3,2446.503,0.05,,,8.0,,N
Xe,2,2446.79,0.1,,,0.0,,N
Xe,3,2447.083,0.05,,,10.0,,N
Xe,4,2447.64,0.01,,,9.0,*,N
Xe,4,2447.64,0.01,,,9.0,*,N
Xe,8,2448.9,0.6,,,-99.0,--,N
Xe,4,2450.9,0.01,,,8.0,,N
Xe,4,2451.37,0.01,,,9.0,,N
Xe,3,2452.644,0.05,,,11.0,,N
Xe,4,2459.75,0.01,,,3.0,,N
Xe,4,2462.66,0.01,,,5.0,,N
Xe,3,2463.061,0.05,,,10.0,,N
Xe,3,2463.557,0.05,,,10.0,,N
Xe,3,2464.555,0.05,,,2.0,,N
Xe,4,2465.75,0.01,,,5.0,,N
Xe,2,2466.6,0.1,,,2.0,h,N
Xe,8,2467.6,0.5,,,-99.0,--,N
Xe,3,2468.393,0.05,,,7.0,bl,N
Xe,2,2468.43,0.1,,,5.0,,N
Xe,2,2470.18,0.1,,,5.0,,N
Xe,4,2470.74,0.01,,,3.0,,N
Xe,3,2471.319,0.05,,,10.0,,N
Xe,3,2472.377,0.05,,,7.0,,N
Xe,5,2473.11,0.01,,,12.0,,N
Xe,4,2474.82,0.01,,,9.0,,N
Xe,2,2475.89,0.1,,,100.0,,N
Xe,3,2477.062,0.05,,,0.0,,N
Xe,2,2478.82,0.1,,,4.0,,N
Xe,3,2479.13,0.05,,,7.0,,N
Xe,2,2479.4,0.1,,,1.0,,N
Xe,3,2479.876,0.05,,,8.0,,N
Xe,3,2483.464,0.05,,,6.0,,N
Xe,3,2485.006,0.05,,,7.0,,N
Xe,5,2485.41,0.01,,,9.0,,N
Xe,3,2486.727,0.05,,,9.0,,N
Xe,8,2487.8,0.6,,,-99.0,--,N
Xe,2,2489.11,0.1,,,50.0,,N
Xe,2,2490.76,0.1,,,20.0,,N
Xe,2,2491.78,0.1,,,5.0,,N
Xe,4,2493.05,0.01,,,9.0,,N
Xe,4,2495.1,0.01,,,11.0,,N
Xe,4,2497.02,0.01,,,6.0,,N
Xe,4,2498.06,0.01,,,2.0,,N
Xe,3,2501.037,0.05,,,12.0,,N
